platform,video_id,video_title,video_views,channel_title,comment_id,parent_id,author,text,likes,published_at,updated_at,is_reply,collected_at,hashtag_query
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzKYG_NectAmu9oLPV4AaABAg,,@MD_Ali-siuuuuu,"Name copy: Samsung.
Design copy: apple. 😂😂",0,2025-11-26T12:57:34Z,2025-11-26T12:57:34Z,False,2025-12-09T19:07:55.540433,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxihLW6XOMkfCqz2cp4AaABAg,,@Verified_560,The computer is called itel,0,2025-11-22T01:28:09Z,2025-11-22T01:28:09Z,False,2025-12-09T19:07:55.540495,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyHs3PaB-XmP71_pit4AaABAg,,@SajukaNdure,Can that work to help each other ok good...😮,0,2025-11-13T13:45:41Z,2025-11-13T13:45:41Z,False,2025-12-09T19:07:55.540506,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzspBuLxNRBOB5LDux4AaABAg,,@SajukaNdure,But you can fixed me a smart phones with things ok good....😮,0,2025-11-13T13:45:20Z,2025-11-13T13:45:20Z,False,2025-12-09T19:07:55.540517,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgwIM8hjsIqzQJ7HhTh4AaABAg,,@SajukaNdure,Boy me don't have money used to do security job to keep some money if you have some money ok white friends to plan for me some because things are not easy of getting money you and you a family man aswel ok good nice but You do me mobile phones to used ok good maybe what I say can work always to the bigger peoples.. Europeans and Chinese peoples keep it a secret ok good maybe if you have some Europeans friends ok good...😮,0,2025-11-13T13:44:54Z,2025-11-13T13:44:54Z,False,2025-12-09T19:07:55.540540,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyNOfFuhU8ripS1ixN4AaABAg,,@SajukaNdure,Like a solution alright good hmmm.,1,2025-11-13T05:54:31Z,2025-11-13T05:54:31Z,False,2025-12-09T19:07:55.540548,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugz4HI0irIkVvVu4tcF4AaABAg,,@SajukaNdure,Do that for me ok alright.😮😮 .. charging moblie phones full charge is a or man here on your house hmm this electricity ok good  with good charger's as well which are fastly full in current when charging them ok good nice....,1,2025-11-13T05:52:30Z,2025-11-13T05:52:30Z,False,2025-12-09T19:07:55.540557,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugw6taE25PWotZNgBv14AaABAg,,@SajukaNdure,Boy they are both 15 brands I think sheld once both of them A15 A16 brands I think ok good make plenty mobile smart phones solutions and on my name there for me ok good I like moblie smart phones aswel alright good nice throw the a razor blades blades not good not even save for cuttings sometimes only merchines alright good.they spoil on my hands mistakenly you know things ok good... nakam nak naka job..😮,1,2025-11-13T05:49:48Z,2025-11-13T05:49:48Z,False,2025-12-09T19:07:55.540581,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyqrMxAhVZcn06SoH54AaABAg,,@SajukaNdure,Hi how are you doing I lost my two itel Smart phones I know you can't recover it because is seriously spoil alright good so if possible you can make another one like does once or many of does types ok what are you holding rezor blade I need a cold naturalminaral water and a Despenser ok good...😮😮 And plenty devices from your brands and others ok good...with good fast charger qualities ok good...see you you with a nice Samsung sr you have ok that's Samsung Galaxy you itel ok mobile phones ok good it spoil on my hands i loss ok good I know know ok good things alright good nice...😮. but I do like them they were a good phones ok good..ok.things ok..😮,1,2025-11-12T22:43:15Z,2025-11-12T22:43:15Z,False,2025-12-09T19:07:55.540603,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxnZBCt4jaaTuGhg4l4AaABAg,,@SajukaNdure,Likes nakam nak...😮,0,2025-11-12T07:42:57Z,2025-11-12T07:42:57Z,False,2025-12-09T19:07:55.540621,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugz5NdaRH54UamU2Mgp4AaABAg,,@SajukaNdure,Hi how are you doing I like more of your mobile phones devices hope you will be sponsoring me lots of smart phones and other accessories devices ok good with latest brands aswel ok good nice where is your that shelled battery size moblie phones..ital company good company ok good..😮😮,0,2025-11-12T07:42:43Z,2025-11-12T07:42:43Z,False,2025-12-09T19:07:55.540640,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgwtmNpHydMafI12qSZ4AaABAg,,@ShamilNahid,ফালতু একটা কম্পানি,1,2025-10-26T14:40:01Z,2025-10-26T14:40:01Z,False,2025-12-09T19:07:55.540655,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgwtmNpHydMafI12qSZ4AaABAg.AOkAtLeoZ6GAP5Z3drLdSE,UgwtmNpHydMafI12qSZ4AaABAg,@LitoAmbalao,Hi mag kano,0,2025-11-04T07:14:34Z,2025-11-04T07:14:34Z,True,2025-12-09T19:07:55.540672,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzsqvxC7XZ84foTZZB4AaABAg,,@HiyaMoni-i5p,Hanjala👍👍😍😍,0,2025-10-14T11:50:18Z,2025-10-14T11:50:18Z,False,2025-12-09T19:07:55.540685,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzsqvxC7XZ84foTZZB4AaABAg.AOFyvjfFeBHAOG7oLiQWuU,UgzsqvxC7XZ84foTZZB4AaABAg,@MdHasan-d3l7m,Assalamualaikum 😊❤,0,2025-10-14T13:16:40Z,2025-10-14T13:16:40Z,True,2025-12-09T19:07:55.540705,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxIdQVCXuEwW2VZpaF4AaABAg,,@IshvarBhaiParmar-g7w,Price,0,2025-10-01T16:16:14Z,2025-10-01T16:16:14Z,False,2025-12-09T19:07:55.540717,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxsmpZqRaxnjgUlNAN4AaABAg,,@AungMyoThet-k5u,ဖုန်းအရမ်းပူတာဘာဖြစ်လို့လည်းခဗျာ,0,2025-09-24T12:06:05Z,2025-09-24T12:06:05Z,False,2025-12-09T19:07:55.540732,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgznpvV8YMKk2cWPbtJ4AaABAg,,@JakiaAkther-c3z,তবে বেশি দিন চালাতে পারিনি হটাত করে মাদার বউট নষ্ট হয়ে যায়,0,2025-09-16T09:37:58Z,2025-09-16T09:37:58Z,False,2025-12-09T19:07:55.540747,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyEj2ZvTpYxMkweAjV4AaABAg,,@JakiaAkther-c3z,ভাই দাম হল ২০ হাজার আমি একটা নিচি,1,2025-09-16T09:36:49Z,2025-09-16T09:36:49Z,False,2025-12-09T19:07:55.540760,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugw-eINHyhqDGvLGB6l4AaABAg,,@banalataroji5286,Price koto,0,2025-09-07T07:08:24Z,2025-09-07T07:08:24Z,False,2025-12-09T19:07:55.540774,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyMak-kzqCQ5ZxlAoZ4AaABAg,,@Hashimamla-f7s,Baje mubail,0,2025-08-12T07:37:04Z,2025-08-12T07:37:04Z,False,2025-12-09T19:07:55.540784,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgwHZ7bnVvGLaiFmGT54AaABAg,,@MdAkramHossein-l8e,"দাম,,,,,, কত ❤❤❤❤❤",1,2025-08-12T02:43:21Z,2025-08-12T02:43:21Z,False,2025-12-09T19:07:55.540797,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgwHZ7bnVvGLaiFmGT54AaABAg.ALhmFglanidALhmKQB6xDd,UgwHZ7bnVvGLaiFmGT54AaABAg,@MdAkramHossein-l8e,❤❤,0,2025-08-12T02:44:00Z,2025-08-12T02:44:00Z,True,2025-12-09T19:07:55.540809,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxWmV6YyWErgkHmFwZ4AaABAg,,@TanvirMahmud-z5k,Unisoc tiger,0,2025-08-11T08:52:44Z,2025-08-11T08:52:44Z,False,2025-12-09T19:07:55.540822,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugyg16WSFRE6iZl4Y1t4AaABAg,,@TawhidAhmed-bi6nz,দাম কত টাকা,0,2025-08-01T14:23:49Z,2025-08-01T14:23:49Z,False,2025-12-09T19:07:55.540842,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugz-716xLpiY8byNIop4AaABAg,,@HenryThakur-q7e,I have also one price 3000,0,2025-07-23T20:55:44Z,2025-07-23T20:55:44Z,False,2025-12-09T19:07:55.540858,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugy4SQCT018mSlQpvzB4AaABAg,,@aadesh.kumar-m9p,22 ki retail,0,2025-07-17T15:38:08Z,2025-07-17T15:38:08Z,False,2025-12-09T19:07:55.540870,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzOmPfZqDFBU4bIOOh4AaABAg,,@HabibKhan-e5y8m,Itel a23plus Kisi ne Liya han plz Batana kesa han mena Lena han,0,2025-07-15T09:31:38Z,2025-07-15T09:31:38Z,False,2025-12-09T19:07:55.540883,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzOmPfZqDFBU4bIOOh4AaABAg.AKaPiTjKFVXAMwP7CIZj47,UgzOmPfZqDFBU4bIOOh4AaABAg,@zakirahamad4209,Mane leya bohut accahe ak sal hogaya,0,2025-09-11T15:32:29Z,2025-09-11T15:32:29Z,True,2025-12-09T19:07:55.540896,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgybHxA4c2Gvaw0woNx4AaABAg,,@OliviaDupagan,The design is similar to Samsung,0,2025-07-05T15:08:50Z,2025-07-05T15:08:50Z,False,2025-12-09T19:07:55.540908,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxzexfvCOu5Ady0Nwh4AaABAg,,@nilaShekari,দাম কতো ভাই প্লিজ বলেন,0,2025-06-28T22:43:08Z,2025-06-28T22:43:08Z,False,2025-12-09T19:07:55.540923,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzW_9zeAQDLPwdMh854AaABAg,,@nilaShekari,দাম কতো ভাই প্লিজ বলেন,1,2025-06-28T22:43:08Z,2025-06-28T22:43:08Z,False,2025-12-09T19:07:55.540938,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzMT0cuwKrFygzj82V4AaABAg,,@АБУБАКР-е1о,Jandsomonau,0,2025-06-27T17:15:09Z,2025-06-27T17:15:09Z,False,2025-12-09T19:07:55.540948,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgxV7ANaTbjLl9XgkQN4AaABAg,,@DIFAN-v5w,NCBI A A AS A DA DA DA I I A A AS A A AS A AS A AS I,0,2025-06-26T09:31:41Z,2025-06-26T09:31:41Z,False,2025-12-09T19:07:55.540962,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyHk_F8CWCziROci_94AaABAg,,@BabulNazma-s1m,Amar Akbar 1000,0,2025-06-17T08:03:51Z,2025-06-17T08:03:51Z,False,2025-12-09T19:07:55.540983,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzhdCLtmWAp25QRyXB4AaABAg,,@SamadKhan-dn8cv,🙍🙍🙍🙎,0,2025-06-14T06:15:20Z,2025-06-14T06:15:20Z,False,2025-12-09T19:07:55.540995,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyWUdqh-oPrNmMGxad4AaABAg,,@AyezinAyezin-xm8nt,How much?,0,2025-06-09T00:56:46Z,2025-06-09T00:56:46Z,False,2025-12-09T19:07:55.541007,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgyvcTHcfMzhjxU0LFp4AaABAg,,@muhamadzidan1253,Di cari.,0,2025-05-26T09:03:33Z,2025-05-26T09:03:33Z,False,2025-12-09T19:07:55.541020,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugz0GmV7GSIleJaTJ-t4AaABAg,,@giang72tran21,Low notice,0,2025-05-24T14:51:37Z,2025-05-24T14:51:37Z,False,2025-12-09T19:07:55.541034,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzkoBYF6U8fOcANPcx4AaABAg,,@KalamAnshari-p4v,Bhai 5g hai ya 4g,0,2025-05-20T16:30:22Z,2025-05-20T16:30:22Z,False,2025-12-09T19:07:55.541047,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzbpoQRhKqxBR2YdhR4AaABAg,,@phoneguy-man,Yo am using itel,0,2025-05-18T14:03:37Z,2025-05-18T14:03:37Z,False,2025-12-09T19:07:55.541087,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzbpoQRhKqxBR2YdhR4AaABAg.AIGYjpIjFNqAJWRhNqfEEv,UgzbpoQRhKqxBR2YdhR4AaABAg,@Intjaar7678,Kaisa hai bhai batao mujhe bhi Lena hai,0,2025-06-18T14:41:21Z,2025-06-18T14:41:21Z,True,2025-12-09T19:07:55.541103,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugy5Cgr9Brz5JLr_75d4AaABAg,,@GavxarKomilova,Shu teldi ekranini qatdan topsamikina,0,2025-05-12T16:41:10Z,2025-05-12T16:41:10Z,False,2025-12-09T19:07:55.541120,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugyq98y2UU7c_jNBAEx4AaABAg,,@imammedia.24,দাম কতো হবে,0,2025-05-09T09:46:03Z,2025-05-09T09:46:03Z,False,2025-12-09T19:07:55.541133,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,Ugz7mLMdU1_sg3QIYTl4AaABAg,,@Rupesh-p9h3s,itel s23 👌👌📱,4,2025-04-26T05:25:44Z,2025-04-26T05:25:44Z,False,2025-12-09T19:07:55.541156,#itel
YouTube,ycx7PZR4bR8,Itel S23 Plus review | 2024 #itel #itels23plus #itels23+,704073,TANJIL SAKIN,UgzJDXq5A9SwnkY2oVJ4AaABAg,,@tadimallaJyothi,Same my phone,0,2025-04-23T11:55:21Z,2025-04-23T11:55:21Z,False,2025-12-09T19:07:55.541170,#itel
