platform,video_id,video_title,video_views,channel_title,comment_id,parent_id,author,text,likes,published_at,updated_at,is_reply,collected_at,hashtag_query
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgyMRVl-WntS4oGVIHd4AaABAg,,@stanskelyrics298,But mbona beat ni ya Mario. Wimbo mzuri Diamond🎉,0,2025-12-09T15:16:52Z,2025-12-09T15:16:52Z,False,2025-12-09T19:07:17.719413,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxMqCeSRWD__8YOcph4AaABAg,,@AssaniVincent-e9d,Wewe ni bigwa,0,2025-12-09T13:10:45Z,2025-12-09T13:10:45Z,False,2025-12-09T19:07:17.719458,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugx6K9daPA3e7XjCWoh4AaABAg,,@SemvuaHassan,Mh yuko mot kwa mzik c analindw na freemason,0,2025-12-09T11:05:31Z,2025-12-09T11:05:31Z,False,2025-12-09T19:07:17.719468,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxkAyfUBFscnDz_Ja54AaABAg,,@SemvuaHassan,Nampend mung,0,2025-12-09T11:04:41Z,2025-12-09T11:04:41Z,False,2025-12-09T19:07:17.719477,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgyxW4P634Ql6Z9grlV4AaABAg,,@upcomingmcaikombeward,Nawakilisha Africans from USA wapi likes zetu,1,2025-12-09T07:21:43Z,2025-12-09T07:21:43Z,False,2025-12-09T19:07:17.719486,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwR3y9hIKobkE4gTw94AaABAg,,@MariamAlleni,Zombieeee,0,2025-12-09T06:44:25Z,2025-12-09T06:44:25Z,False,2025-12-09T19:07:17.719502,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugxq_Q8HlHyLI2fzwQl4AaABAg,,@AbouMohammed-w7h,Binladen,0,2025-12-08T21:00:25Z,2025-12-08T21:00:25Z,False,2025-12-09T19:07:17.719511,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwUFVexMw3LXIx9Nyx4AaABAg,,@DorcasMwende-o1i,😢😢😢😢,0,2025-12-08T20:56:24Z,2025-12-08T20:56:24Z,False,2025-12-09T19:07:17.719533,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwlLYaokq2p0hNgK7x4AaABAg,,@contehabdou1010,I don't here the language but I love the song 😊😊,0,2025-12-08T20:08:12Z,2025-12-08T20:08:12Z,False,2025-12-09T19:07:17.719544,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugyxvn_FUN4a2Q7e-vl4AaABAg,,@HavugimanaJeanbosco-d4y,😂😂😂😂,0,2025-12-08T16:13:20Z,2025-12-08T16:13:20Z,False,2025-12-09T19:07:17.719553,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugw4GQjRoVGSabHCJD94AaABAg,,@AbdaryRamathan,Sasa ww unataka laik zann,0,2025-12-08T13:20:34Z,2025-12-08T13:20:34Z,False,2025-12-09T19:07:17.719560,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzWeI_d4XxjOO0gkvp4AaABAg,,@AbdaryRamathan,Mond yuko vizuli mpen laik zak,0,2025-12-08T13:19:51Z,2025-12-08T13:19:51Z,False,2025-12-09T19:07:17.719567,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwJmv0CZNskYBih9XN4AaABAg,,@DavidLaizer-n7d,Simbaaa,0,2025-12-08T11:24:57Z,2025-12-08T11:24:57Z,False,2025-12-09T19:07:17.719575,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwOXtUrFYGtFa1LL894AaABAg,,@KennyMbazumutima-k4u8m,❤❤,0,2025-12-08T04:51:14Z,2025-12-08T04:51:14Z,False,2025-12-09T19:07:17.719582,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxQe0llDUKhv1oupBR4AaABAg,,@NamsombyaEbinda-d4c,😢❤❤❤❤❤🇨🇩🇺🇲🇺🇲🇺🇲,0,2025-12-08T02:16:32Z,2025-12-08T02:16:32Z,False,2025-12-09T19:07:17.719588,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwZElZqQ9ILdkaHawl4AaABAg,,@VictorMaina-c7i,"My mum passed away but ,,this song really reminds me about her na I always play at my club each time,,,,,,,shimiz",0,2025-12-07T18:38:36Z,2025-12-07T18:38:36Z,False,2025-12-09T19:07:17.719601,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzDkqEahc6rjtog5ux4AaABAg,,@RamsonRamadhan-v9h,Kwer simbaaa,0,2025-12-07T16:40:27Z,2025-12-07T16:40:27Z,False,2025-12-09T19:07:17.719608,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgxRNikzA664iIr77yR4AaABAg,,@rizzyone77og,Saport music wangu,0,2025-12-07T14:30:58Z,2025-12-07T14:30:58Z,False,2025-12-09T19:07:17.719615,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgyJeXgnNndblSyuDSF4AaABAg,,@DjFortySevenMidundo,https://youtu.be/u652jsEsIbg?si=vOrFDjyLBUMtRH0V,0,2025-12-07T10:43:57Z,2025-12-07T10:43:57Z,False,2025-12-09T19:07:17.719622,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugz_2JsnzV0Ng2ctMaF4AaABAg,,@SimeonLemasaiyio-pw9lp,"@lavalava you are activist,, keep up the good work bro",0,2025-12-07T10:04:25Z,2025-12-07T10:04:25Z,False,2025-12-09T19:07:17.719635,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwQ-mSytoxuwq8GXlJ4AaABAg,,@PATRICEUYIBANI,"Niende kwa nani , from DRC 🇨🇩🇨🇩🇨🇩🇨🇩",2,2025-12-07T05:57:08Z,2025-12-07T05:57:08Z,False,2025-12-09T19:07:17.719642,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugyz-IBtB-LmUWFWbNF4AaABAg,,@Sylversolide,💙💙💙💙💙💙💙💙💙💙💙💙💚💚💚💚💚💚💚💚💚💚💚💚💛💛💛💛💛💛💛💛💛💛💛💖💖💖💖💖💖💖💖💖from namibia,0,2025-12-06T22:53:24Z,2025-12-06T22:53:24Z,False,2025-12-09T19:07:17.719649,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwLUOXEapCrxuYVCXN4AaABAg,,@VeronicaZakayoMtambo,❤❤❤❤❤❤,0,2025-12-06T17:39:03Z,2025-12-06T17:39:03Z,False,2025-12-09T19:07:17.719656,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgyGpzc7PoIJHC-7onN4AaABAg,,@AiMahulette,"FROM INDONESIA 🇮🇩, SOUTHEAST ASIA 🥶🥶🥶",0,2025-12-06T15:24:46Z,2025-12-06T15:24:46Z,False,2025-12-09T19:07:17.719662,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugy5fH5kDGh_FX5a7VF4AaABAg,,@AbuduliAmisi-l5j,jamani siosili jama anajuwa ambae amukubali aseme 1000😢,1,2025-12-06T14:07:19Z,2025-12-06T14:07:19Z,False,2025-12-09T19:07:17.719669,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugx7y3Tb0RfWlPluC354AaABAg,,@Bazzegaboy,Nomaaaa🎉,0,2025-12-06T13:47:07Z,2025-12-06T13:47:07Z,False,2025-12-09T19:07:17.719682,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgzIU-23hFZPeA68IoF4AaABAg,,@papelProductions,Kama una mtambua diamond platinamz wach like zako hapo❤❤,0,2025-12-06T13:26:31Z,2025-12-06T13:26:31Z,False,2025-12-09T19:07:17.719689,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwlrNW2T0-FufoZIsV4AaABAg,,@Joyls-t2g,Nyimbo ka tamu🎉🎉🎉🎉❤,0,2025-12-06T12:37:11Z,2025-12-06T12:37:11Z,False,2025-12-09T19:07:17.719696,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugy-8oS6y6NDgqTj3A54AaABAg,,@KelvinMutua-f1g,"11M views in 1 month 💀 
In Africa we have 2 GOATS
Davido & Simba♥️",7,2025-12-06T12:36:15Z,2025-12-06T12:36:15Z,False,2025-12-09T19:07:17.719702,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgygOfjYvnQgm88cAzh4AaABAg,,@AjaraLawal,"Gosh, this man is handss, I understand Fantana now. 🤩😅",0,2025-12-06T12:06:56Z,2025-12-06T12:06:56Z,False,2025-12-09T19:07:17.719709,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwPUhmPEglXOeal2rx4AaABAg,,@JohnstonMullah-c1e,❤❤❤❤❤❤❤ 0:49 0:52,0,2025-12-06T10:15:28Z,2025-12-06T10:15:28Z,False,2025-12-09T19:07:17.719716,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,Ugw-8kUJp50WO7JzcfV4AaABAg,,@kenwizzy-zl5sp,Talent❤❤❤,0,2025-12-06T10:09:58Z,2025-12-06T10:09:58Z,False,2025-12-09T19:07:17.719723,#music
YouTube,BaSxCDp04WI,Diamond Platnumz - Nani (Official Music Video),11915567,Diamond Platnumz,UgwkWTx7ekoqauKK82Z4AaABAg,,@AbubakaryUbaya-r3d,Namba 1song for all time,0,2025-12-06T07:05:08Z,2025-12-06T07:05:08Z,False,2025-12-09T19:07:17.719730,#music
